2019-03-18 01:33:02,1,Master Bedroom,400,0,-999.99,-999.99
2019-03-18 01:33:42,1,Master Bedroom,400,5,-999.99,-999.99
2019-03-18 01:34:22,1,Master Bedroom,400,7,-999.99,-999.99
2019-03-18 01:35:02,1,Master Bedroom,400,0,-999.99,-999.99
2019-03-18 01:35:42,1,Master Bedroom,400,3,-999.99,-999.99
2019-03-18 01:36:22,1,Master Bedroom,400,0,-999.99,-999.99
2019-03-18 01:37:02,1,Master Bedroom,400,0,-999.99,-999.99
2019-03-18 01:39:43,1,Master Bedroom,400,16,-999.99,-999.99
2019-03-18 01:42:23,1,Master Bedroom,400,7,-999.99,-999.99
2019-03-18 01:43:03,1,Master Bedroom,400,10,-999.99,-999.99
2019-03-18 01:43:43,1,Master Bedroom,400,10,-999.99,-999.99
2019-03-18 01:44:23,1,Master Bedroom,400,4,-999.99,-999.99
2019-03-18 01:45:03,1,Master Bedroom,400,7,-999.99,-999.99
2019-03-18 01:45:43,1,Master Bedroom,400,4,-999.99,-999.99
2019-03-18 01:46:23,1,Master Bedroom,400,6,-999.99,-999.99
2019-03-18 01:47:03,1,Master Bedroom,400,0,-999.99,-999.99
2019-03-18 01:47:43,1,Master Bedroom,400,8,-999.99,-999.99
2019-03-20 21:02:40,1,Master Bedroom,400,0,23,50.8
2019-03-20 21:02:43,1,Master Bedroom,400,0,23,50.2
2019-03-20 21:02:46,1,Master Bedroom,400,0,23,49.7
2019-03-20 21:02:49,1,Master Bedroom,400,0,22.9,49.2
2019-03-20 21:02:51,1,Master Bedroom,400,0,23,48.8
2019-03-20 21:02:57,1,Master Bedroom,400,0,22.9,48.6
2019-03-20 21:02:59,1,Master Bedroom,400,0,22.9,48.5
2019-03-20 21:03:02,1,Master Bedroom,400,0,22.9,48.4
2019-03-20 21:03:05,1,Master Bedroom,400,0,22.8,48.1
2019-03-20 21:03:07,1,Master Bedroom,400,0,22.8,48
2019-03-20 21:03:10,1,Master Bedroom,400,0,22.8,47.8
2019-03-20 21:03:57,1,Master Bedroom,400,0,22.7,49.5
2019-03-20 21:03:59,1,Master Bedroom,400,0,22.7,49.3
2019-03-20 21:04:02,1,Master Bedroom,400,0,22.7,49.2
2019-03-20 21:04:05,1,Master Bedroom,400,0,22.7,49.2
2019-03-20 21:04:07,1,Master Bedroom,400,0,22.7,49.1
2019-03-20 21:04:10,1,Master Bedroom,582,8,22.7,49.4
2019-03-20 21:04:13,1,Master Bedroom,564,0,22.7,49.6
2019-03-20 21:05:08,1,Master Bedroom,400,0,22.7,51.5
2019-03-20 21:05:13,1,Master Bedroom,400,0,22.8,53
2019-03-20 21:05:16,1,Master Bedroom,400,0,22.7,53.2
2019-03-20 21:05:20,1,Master Bedroom,400,0,22.8,52.8
2019-03-20 21:05:23,1,Master Bedroom,728,38,22.8,53.9
2019-03-20 21:05:27,1,Master Bedroom,438,0,22.8,54.3
2019-03-20 21:05:31,1,Master Bedroom,400,0,22.8,53.1
2019-03-20 21:05:35,1,Master Bedroom,400,0,22.8,51.3
2019-03-20 21:05:41,1,Master Bedroom,400,0,22.8,50.8
